                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2137,                0.89085,                 1.3063,                0.87746,                0.67568,                 0.8154,                0.52309,                 1.7745,                 2.0776,                 1.6968,                0.00046,                0.00046,                0.00046
                      2,                 1.2872,                0.92091,                 1.3602,                0.01073,                0.05405,                0.00479,                0.00382,                0.89419,                 32.045,                0.83984,             0.00093069,             0.00093069,             0.00093069
                      3,                 1.3131,                0.95587,                 1.3267,                0.67546,                0.16216,                0.39964,                0.23763,                  3.224,                 6.8243,                 2.4506,              0.0013919,              0.0013919,              0.0013919
                      4,                 1.3773,                 1.0435,                 1.4214,                0.00846,                0.08108,                0.00455,                0.00224,                 1.4868,                    inf,                 47.509,              0.0018436,              0.0018436,              0.0018436
                      5,                 1.3975,                 1.0404,                 1.4222,                0.80952,                0.45946,                0.65258,                0.46545,                 1.7667,                 2.6231,                 1.5601,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.3812,                 1.0986,                 1.4391,                0.78975,                0.62162,                 0.7393,                 0.4387,                 2.1143,                 3.2787,                 1.8165,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.3954,                 1.0801,                 1.4145,                 0.8779,                0.62162,                0.74256,                0.40508,                 1.8982,                 3.0631,                 1.6317,               0.001901,               0.001901,               0.001901
                      8,                 1.3604,                 1.0247,                 1.4213,                0.86778,                0.70971,                0.80192,                0.48188,                 1.8444,                 1.8934,                 1.6844,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.3457,                0.98705,                 1.3818,                0.90887,                 0.7027,                0.78874,                0.51937,                 1.9908,                 2.0086,                 1.6416,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.3111,                 1.0086,                 1.3453,                0.86159,                0.67306,                0.78463,                  0.499,                 1.7606,                 1.6597,                 1.5677,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.3297,                0.96109,                 1.3773,                 0.7149,                0.67568,                0.75696,                0.47476,                   2.06,                 1.8805,                  1.728,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.3204,                0.97944,                 1.3671,                0.90157,                0.59459,                0.70969,                 0.4379,                 2.1565,                 8.0073,                 1.7617,               0.001802,               0.001802,               0.001802
                     13,                 1.2843,                0.92723,                 1.3643,                0.96275,                0.69861,                0.84314,                0.53989,                 1.5049,                 2.1753,                   1.47,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.2954,                 0.9141,                 1.3597,                0.76391,                0.72973,                0.78206,                 0.5012,                 1.8623,                 2.5787,                 1.6156,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.3023,                0.95628,                 1.3625,                0.86038,                0.75676,                0.84614,                 0.5555,                 2.0591,                 1.3385,                 1.7676,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.2574,                0.91836,                 1.3551,                0.91422,                0.72973,                0.84432,                0.57646,                  2.129,                 1.6419,                 1.7581,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.2654,                0.88136,                  1.344,                0.90424,                0.75676,                0.84112,                0.55605,                 1.9863,                 1.1272,                 1.7443,               0.001703,               0.001703,               0.001703
                     18,                 1.2968,                0.86728,                 1.3425,                0.93041,                0.72289,                0.82838,                0.53644,                 1.8547,                 2.2647,                 1.6183,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.2782,                0.86779,                 1.3206,                0.81396,                0.67568,                0.78794,                0.46879,                 2.0351,                 3.3663,                 1.6828,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.2521,                0.89187,                 1.3248,                 0.8292,                0.67568,                0.78597,                 0.4681,                 1.9973,                 2.5717,                 1.8345,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.2208,                0.90855,                 1.3362,                0.84177,                0.72973,                0.83103,                0.55058,                 1.6838,                 2.2003,                 1.4778,              0.0016238,              0.0016238,              0.0016238
